@T,table
Created,2019-01-10 16:50
Author,HortonMachine library
@H,timestamp,value_8
ID,,8
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-04-18 00:00,6676510.740370601
,2014-04-18 01:00,6672814.131086573
,2014-04-18 02:00,6669221.717038602
,2014-04-18 03:00,6665728.02748166
,2014-04-18 04:00,6662333.970337138
,2014-04-18 05:00,6659034.922364727
,2014-04-18 06:00,6655829.322248206
,2014-04-18 07:00,6652711.220043972
,2014-04-18 08:00,6649676.693897933
,2014-04-18 09:00,6646722.216999158
,2014-04-18 10:00,6643846.056561977
,2014-04-18 11:00,6641048.897491619
,2014-04-18 12:00,6638337.148139253
,2014-04-18 13:00,6635708.130172864
,2014-04-18 14:00,6633156.7979365885
,2014-04-18 15:00,6630679.1059797555
,2014-04-18 16:00,6628269.513965994
,2014-04-18 17:00,6625922.385908291
,2014-04-18 18:00,6623635.111460134
,2014-04-18 19:00,6621403.935322434
,2014-04-18 20:00,6619226.241767734
,2014-04-18 21:00,6617100.24758172
,2014-04-18 22:00,6615024.567594886
,2014-04-18 23:00,6612997.76655674
,2014-04-19 00:00,6611018.507661283
,2014-04-19 01:00,6609085.507539079
,2014-04-19 02:00,6607197.519928783
,2014-04-19 03:00,6605353.331500813
,2014-04-19 04:00,6603551.760677651
,2014-04-19 05:00,6601791.65714331
,2014-04-19 06:00,6600073.020869121
,2014-04-19 07:00,6598394.180742487
,2014-04-19 08:00,6596753.679680541
,2014-04-19 09:00,6595150.450371206
,2014-04-19 10:00,6593583.314159542
,2014-04-19 11:00,6592051.375649795
,2014-04-19 12:00,6590553.567749158
,2014-04-19 13:00,6589088.934956744
,2014-04-19 14:00,6587656.578994557
,2014-04-19 15:00,6586255.636181638
,2014-04-19 16:00,6584885.271492034
,2014-04-19 17:00,6583544.676569879
,2014-04-19 18:00,6582233.067861602
,2014-04-19 19:00,6580949.685041904
,2014-04-19 20:00,6579693.790072814
,2014-04-19 21:00,6578464.666489974
,2014-04-19 22:00,6577261.618765071
,2014-04-19 23:00,6576083.971698433
,2014-04-20 00:00,6574931.06982781
,2014-04-20 01:00,6573802.276849791
,2014-04-20 02:00,6572696.975053087
,2014-04-20 03:00,6571614.564763755
,2014-04-20 04:00,6570554.4638028
,2014-04-20 05:00,6569516.1069563925
,2014-04-20 06:00,6568498.945304334
,2014-04-20 07:00,6567502.444402397
,2014-04-20 08:00,6566526.0835570395
,2014-04-20 09:00,6565569.355599999
,2014-04-20 10:00,6564631.766817361
,2014-04-20 11:00,6563712.837082118
,2014-04-20 12:00,6562812.100084156
,2014-04-20 13:00,6561929.103307515
,2014-04-20 14:00,6561063.408039078
,2014-04-20 15:00,6560214.589264184
,2014-04-20 16:00,6559382.2354629785
,2014-04-20 17:00,6558565.948286399
,2014-04-20 18:00,6557765.341542408
,2014-04-20 19:00,6556980.040222034
,2014-04-20 20:00,6556209.679942638
,2014-04-20 21:00,6555453.906550035
,2014-04-20 22:00,6554712.556681395
,2014-04-20 23:00,6553985.442949742
,2014-04-21 00:00,6553272.02259329
,2014-04-21 01:00,6552571.886717677
,2014-04-21 02:00,6551885.289409816
,2014-04-21 03:00,6551215.979330525
,2014-04-21 04:00,6550562.233161524
,2014-04-21 05:00,6549922.471037418
,2014-04-21 06:00,6549294.908927634
,2014-04-21 07:00,6548678.802382991
,2014-04-21 08:00,6548074.141709849
,2014-04-21 09:00,6547480.226313651
,2014-04-21 10:00,6546896.630192429
,2014-04-21 11:00,6546323.064690903
,2014-04-21 12:00,6545759.291479781
,2014-04-21 13:00,6545205.092954442
,2014-04-21 14:00,6544660.262304708
,2014-04-21 15:00,6544124.600238666
,2014-04-21 16:00,6543597.913820192
,2014-04-21 17:00,6543080.015988305
,2014-04-21 18:00,6542570.724875197
,2014-04-21 19:00,6542069.863198444
,2014-04-21 20:00,6541577.257976934
,2014-04-21 21:00,6541092.740366325
,2014-04-21 22:00,6540616.145534217
,2014-04-21 23:00,6540147.3125501275
,2014-04-22 00:00,6539686.084282026
,2014-04-22 01:00,6539232.307296634
,2014-04-22 02:00,6538785.831763044
,2014-04-22 03:00,6538346.640958726
,2014-04-22 04:00,6537914.502871767
,2014-04-22 05:00,6537489.352846056
,2014-04-22 06:00,6537071.077051923
,2014-04-22 07:00,6536659.443257734
,2014-04-22 08:00,6536254.469833598
,2014-04-22 09:00,6535855.890293896
,2014-04-22 10:00,6535463.521960735
,2014-04-22 11:00,6535077.222157434
,2014-04-22 12:00,6534696.863718271
,2014-04-22 13:00,6534322.326746643
,2014-04-22 14:00,6533953.495914504
,2014-04-22 15:00,6533590.259583905
,2014-04-22 16:00,6533232.509493217
,2014-04-22 17:00,6532880.140603945
,2014-04-22 18:00,6532533.050699338
,2014-04-22 19:00,6532191.27448757
,2014-04-22 20:00,6531856.883364648
,2014-04-22 21:00,6531528.747540325
,2014-04-22 22:00,6531206.842401117
,2014-04-22 23:00,6530896.805316225
,2014-04-23 00:00,6530597.202871516
,2014-04-23 01:00,6530305.604769006
,2014-04-23 02:00,6530025.373367786
,2014-04-23 03:00,6529753.285135046
,2014-04-23 04:00,6529487.673217624
,2014-04-23 05:00,6529226.610895351
,2014-04-23 06:00,6528969.016367376
,2014-04-23 07:00,6528714.412260279
,2014-04-23 08:00,6528462.599626586
,2014-04-23 09:00,6528213.490181595
,2014-04-23 10:00,6527968.851310879
,2014-04-23 11:00,6527728.5199750215
,2014-04-23 12:00,6527493.108890682
,2014-04-23 13:00,6527275.026868731
,2014-04-23 14:00,6527094.1956523955
,2014-04-23 15:00,6526968.622410789
,2014-04-23 16:00,6526914.311439246
