@T,table
Created,2019-01-10 16:50
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,4.501266227904773E-4
,1994-01-01 01:00,6.857285118196755E-4
,1994-01-01 02:00,9.576413950003878E-4
,1994-01-01 03:00,9.575803352223235E-4
,1994-01-01 04:00,9.57580348596485E-4
,1994-01-01 05:00,9.575803485935557E-4
,1994-01-01 06:00,9.575803485935561E-4
,1994-01-01 07:00,9.575803485935561E-4
,1994-01-01 08:00,9.575803485935562E-4
,1994-01-01 09:00,9.575803485935561E-4
,1994-01-01 10:00,9.575803485935561E-4
,1994-01-01 11:00,9.575803485935561E-4
,1994-01-01 12:00,9.575803485935561E-4
,1994-01-01 13:00,9.575803485935561E-4
,1994-01-01 14:00,9.575803485935561E-4
,1994-01-01 15:00,9.575803485935561E-4
,1994-01-01 16:00,9.571608724809219E-4
,1994-01-01 17:00,9.575804404765373E-4
,1994-01-01 18:00,9.571609643054033E-4
,1994-01-01 19:00,9.567417551787405E-4
,1994-01-01 20:00,9.575805322870136E-4
,1994-01-01 21:00,9.57161056057426E-4
,1994-01-01 22:00,9.567418468723581E-4
,1994-01-01 23:00,9.56322904508804E-4
,1994-01-02 00:00,9.559042287439877E-4
,1994-01-02 01:00,9.554858193553629E-4
,1994-01-02 02:00,9.550676761206139E-4
,1994-01-02 03:00,9.546497988176545E-4
,1994-01-02 04:00,9.542321872246276E-4
,1994-01-02 05:00,9.538148411199052E-4
,1994-01-02 06:00,9.533977602820885E-4
,1994-01-02 07:00,9.529809444900067E-4
,1994-01-02 08:00,9.525643935227175E-4
,1994-01-02 09:00,9.521481071595063E-4
,1994-01-02 10:00,9.517320851798861E-4
,1994-01-02 11:00,9.513163273635978E-4
,1994-01-02 12:00,9.50900833490609E-4
,1994-01-02 13:00,9.504856033411141E-4
,1994-01-02 14:00,9.500706366955341E-4
,1994-01-02 15:00,9.496559333345162E-4
,1994-01-02 16:00,9.492414930389335E-4
,1994-01-02 17:00,9.488273155898852E-4
,1994-01-02 18:00,9.484134007686956E-4
,1994-01-02 19:00,9.479997483569142E-4
,1994-01-02 20:00,9.475863581363155E-4
,1994-01-02 21:00,9.471732298888983E-4
,1994-01-02 22:00,9.46760363396886E-4
,1994-01-02 23:00,9.463477584427261E-4
