@T,table
Created,2019-01-10 16:49
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 21:00,0.4672987026008508
,1994-01-01 22:00,0.3163877990400084
,1994-01-01 23:00,0.2142125343473978
,1994-01-02 00:00,0.14503406898358898
,1994-01-02 01:00,0.09819631344178481
,1994-01-02 02:00,0.06648448906613964
,1994-01-02 03:00,0.04501378036972954
,1994-01-02 04:00,0.030476889446477064
,1994-01-02 05:00,0.02063458751305878
,1994-01-02 06:00,0.01397078932815128
,1994-01-02 07:00,0.009459018956791257
,1994-01-02 08:00,0.006404293810704844
,1994-01-02 09:00,0.00433607115084466
,1994-01-02 10:00,0.0029357667809934876
,1994-01-02 11:00,0.001987681080995979
,1994-01-02 12:00,0.0013457731401993129
,1994-01-02 13:00,9.111649560880246E-4
,1994-01-02 14:00,6.169104973223717E-4
,1994-01-02 15:00,4.1768349316341296E-4
,1994-01-02 16:00,2.827954804119823E-4
,1994-01-02 17:00,1.914686240911519E-4
,1994-01-02 18:00,1.2963514819240042E-4
,1994-01-02 19:00,8.777036826075675E-5
,1994-01-02 20:00,5.9425531208504804E-5
,1994-01-02 21:00,4.023446442563113E-5
,1994-01-02 22:00,2.7241020731258207E-5
,1994-01-02 23:00,1.8443720354529996E-5
,1994-01-03 00:00,1.2487447657409992E-5
,1994-01-03 01:00,8.454712281419424E-6
,1994-01-03 02:00,5.724321072060504E-6
,1994-01-03 03:00,3.875690933686708E-6
,1994-01-03 04:00,2.6240631900911938E-6
,1994-01-03 05:00,1.7766400219740486E-6
,1994-01-03 06:00,1.2028863403893293E-6
,1994-01-03 07:00,8.144224660025218E-7
,1994-01-03 08:00,5.514103293539703E-7
,1994-01-03 09:00,3.733361541591412E-7
,1994-01-03 10:00,2.527698096725988E-7
,1994-01-03 11:00,1.7113953730469278E-7
,1994-01-03 12:00,1.1587120023073609E-7
,1994-01-03 13:00,7.845139267266685E-8
,1994-01-03 14:00,5.3116054723038714E-8
,1994-01-03 15:00,3.5962589996485704E-8
,1994-01-03 16:00,2.434871878189768E-8
,1994-01-03 17:00,1.6485467436516634E-8
,1994-01-03 18:00,1.1161599057214932E-8
,1994-01-03 19:00,7.55703737208275E-9
,1994-01-03 20:00,5.1165441036098806E-9
,1994-01-03 21:00,3.4641913590230307E-9
,1994-01-03 22:00,2.345454574204162E-9
,1994-01-03 23:00,1.588006143288342E-9
,1994-01-04 00:00,1.0751704760588159E-9
,1994-01-04 01:00,7.27951562073151E-10
,1994-01-04 02:00,4.928646094033387E-10
,1994-01-04 03:00,3.3369737199340257E-10
,1994-01-04 04:00,2.2593209971011725E-10
,1994-01-04 05:00,1.5296888127854951E-10
,1994-01-04 06:00,1.0356863265394439E-10
,1994-01-04 07:00,7.012185472073684E-11
,1994-01-04 08:00,4.747648379124533E-11

